species_ID;species;unit;light;mass;harvest
Bro_hor_3_2;Bro_hor;3;0.94;15.89;2
Bro_hor_1_2;Bro_hor;1;0.081;3.55;2
Bro_hor_2_2;Bro_hor;2;0.3;3.05;2
Bro_hor_5_2;Bro_hor;5;0;2.27;2
Bro_hor_6_2;Bro_hor;6;0.0087;14.77;2
Bro_hor_7_2;Bro_hor;7;0.028;3.52;2
Bro_hor_8_2;Bro_hor;8;0;2.86;2
Bro_hor_9_2;Bro_hor;9;9.883;8.33;2
Bro_hor_10_2;Bro_hor;10;3.033;2.53;2
Bro_hor_11_2;Bro_hor;11;30.313;0.26;2
Bro_hor_12_2;Bro_hor;12;30.313;2.24;2
Bro_hor_1_1;Bro_hor;1;0.081;13.2;1
Bro_hor_2_1;Bro_hor;2;0.3;11.45;1
Bro_hor_3_1;Bro_hor;3;0.94;6.22;1
Bro_hor_4_1;Bro_hor;4;0.103;3.53;1
Bro_hor_5_1;Bro_hor;5;0;19.03;1
Bro_hor_6_1;Bro_hor;6;0.0087;16.76;1
Bro_hor_7_1;Bro_hor;7;0.028;0.87;1
Bro_hor_8_1;Bro_hor;8;0;3.57;1
Bro_hor_9_1;Bro_hor;9;9.883;10.1;1
Bro_hor_10_1;Bro_hor;10;3.033;0.04;1
Bro_hor_11_1;Bro_hor;11;30.313;0.29;1
Bro_hor_12_1;Bro_hor;12;30.313;2.59;1
dead_1_2;dead;1;0.081;0.41;2
dead_2_2;dead;2;0.3;1.12;2
dead_3_2;dead;3;0.94;2.39;2
dead_4_2;dead;4;0.103;0.15;2
dead_5_2;dead;5;0;0.44;2
dead_6_2;dead;6;0.0087;1.08;2
dead_7_2;dead;7;0.028;0.45;2
dead_8_2;dead;8;0;0.51;2
dead_9_2;dead;9;9.883;0.46;2
dead_10_2;dead;10;3.033;0.75;2
dead_11_2;dead;11;30.313;0.48;2
dead_12_2;dead;12;30.313;1.93;2
dead_1_1;dead;1;0.081;19.53;1
dead_2_1;dead;2;0.3;22.28;1
dead_3_1;dead;3;0.94;7.9;1
dead_4_1;dead;4;0.103;7.06;1
dead_5_1;dead;5;0;9.8;1
dead_6_1;dead;6;0.0087;5.56;1
dead_7_1;dead;7;0.028;8.77;1
dead_8_1;dead;8;0;13.54;1
dead_9_1;dead;9;9.883;10.85;1
dead_10_1;dead;10;3.033;0.31;1
dead_11_1;dead;11;30.313;8.12;1
dead_12_1;dead;12;30.313;6.97;1
Fes_rub_1_1;Fes_rub;1;0.081;2.8;1
Fes_rub_3_1;Fes_rub;3;0.94;2.61;1
Fes_rub_5_1;Fes_rub;5;0;2.79;1
Fes_rub_7_1;Fes_rub;7;0.028;3.1;1
Fes_rub_9_1;Fes_rub;9;9.883;1.36;1
Fes_rub_11_1;Fes_rub;11;30.313;2.99;1
Fes_rub_1_2;Fes_rub;1;0.081;0.04;2
Fes_rub_2_2;Fes_rub;2;0.3;0.43;2
Fes_rub_3_2;Fes_rub;3;0.94;0.57;2
Fes_rub_4_2;Fes_rub;4;0.103;0.07;2
Fes_rub_5_2;Fes_rub;5;0;0.08;2
Fes_rub_6_2;Fes_rub;6;0.0087;0.18;2
Fes_rub_7_2;Fes_rub;7;0.028;0.02;2
Fes_rub_8_2;Fes_rub;8;0;0.46;2
Fes_rub_9_2;Fes_rub;9;9.883;0.78;2
Fes_rub_10_2;Fes_rub;10;3.033;0.24;2
Fes_rub_11_2;Fes_rub;11;30.313;0.01;2
Fes_rub_12_2;Fes_rub;12;30.313;0.06;2
Lat_pra_1_2;Lat_pra;1;0.081;0.26;2
Lat_pra_2_2;Lat_pra;2;0.3;0.43;2
Lat_pra_3_2;Lat_pra;3;0.94;0.07;2
Lat_pra_4_2;Lat_pra;4;0.103;0.01;2
Lat_pra_5_2;Lat_pra;5;0;0.08;2
Lat_pra_6_2;Lat_pra;6;0.0087;0.18;2
Lat_pra_8_2;Lat_pra;8;0;0.04;2
Lat_pra_9_2;Lat_pra;9;9.883;0.01;2
Lat_pra_10_2;Lat_pra;10;3.033;0.04;2
Lat_pra_12_2;Lat_pra;12;30.313;0.03;2
Lat_pra_1_1;Lat_pra;1;0.081;3;1
Lat_pra_9_1;Lat_pra;9;9.883;2.98;1
Lat_pra_11_1;Lat_pra;11;30.313;3.44;1
Lot_vor_1_2;Lot_vor;1;0.081;0.05;2
Lot_vor_2_2;Lot_vor;2;0.3;0.04;2
Lot_vor_8_2;Lot_vor;8;0;0.07;2
Lot_vor_11_2;Lot_vor;11;30.313;0.01;2
Lot_vor_5_1;Lot_vor;5;0;3.04;1
Lot_vor_10_1;Lot_vor;10;3.033;3.58;1
Med_lup_2_1;Med_lup;2;0.3;3.4;1
Med_lup_8_1;Med_lup;8;0;3.62;1
Med_lup_9_1;Med_lup;9;9.883;2.92;1
Med_lup_10_1;Med_lup;10;3.033;3.55;1
Med_lup_11_1;Med_lup;11;30.313;1.72;1
other_5_2;other;5;0;0.34;2
other_6_2;other;6;0.0087;0.56;2
other_7_2;other;7;0.028;3.5;2
other_8_2;other;8;0;1.51;2
other_9_2;other;9;9.883;0.33;2
other_10_2;other;10;3.033;0.04;2
other_5_1;other;5;0;34.57;1
other_9_1;other;9;9.883;3.21;1
other_2_1;other;2;0.3;29.84;1
other_4_1;other;4;0.103;7.53;1
other_6_1;other;6;0.0087;6.08;1
other_8_1;other;8;0;13.97;1
other_10_1;other;10;3.033;11.28;1
other_12_1;other;12;30.313;2.22;1
other_4_2;other;4;0.103;2.42;2
other_1_2;other;1;0.081;0.21;2
other_2_2;other;2;0.3;1.3;2
other_3_2;other;3;0.94;16.13;2
other_11_2;other;11;30.313;0.4;2
other_1_1;other;1;0.081;4.25;1
other_7_1;other;7;0.028;8.92;1
other_11_1;other;11;30.313;4.77;1
other_3_1;other;3;0.94;4.8;1
Pru_vul_1_2;Pru_vul;1;0.081;0.01;2
Pru_vul_2_2;Pru_vul;2;0.3;0.02;2
Pru_vul_1_1;Pru_vul;1;0.081;2.99;1
Pru_vul_2_1;Pru_vul;2;0.3;3.6;1
Pru_vul_6_1;Pru_vul;6;0.0087;3.6;1
Pru_vul_8_1;Pru_vul;8;0;2.54;1
Ran_rep_5_1;Ran_rep;5;0;3.02;1
Tri_rep_1_2;Tri_rep;1;0.081;11.72;2
Tri_rep_2_2;Tri_rep;2;0.3;15.3;2
Tri_rep_3_2;Tri_rep;3;0.94;40.53;2
Tri_rep_4_2;Tri_rep;4;0.103;13.46;2
Tri_rep_5_2;Tri_rep;5;0;8.97;2
Tri_rep_6_2;Tri_rep;6;0.0087;31.98;2
Tri_rep_7_2;Tri_rep;7;0.028;14.39;2
Tri_rep_8_2;Tri_rep;8;0;18.7;2
Tri_rep_9_2;Tri_rep;9;9.883;17.05;2
Tri_rep_10_2;Tri_rep;10;3.033;16.24;2
Tri_rep_11_2;Tri_rep;11;30.313;17.57;2
Tri_rep_12_2;Tri_rep;12;30.313;28.13;2
Tri_rep_1_1;Tri_rep;1;0.081;19.91;1
Tri_rep_2_1;Tri_rep;2;0.3;29.15;1
Tri_rep_3_1;Tri_rep;3;0.94;35.42;1
Tri_rep_4_1;Tri_rep;4;0.103;30.54;1
Tri_rep_5_1;Tri_rep;5;0;36.99;1
Tri_rep_6_1;Tri_rep;6;0.0087;29.42;1
Tri_rep_7_1;Tri_rep;7;0.028;35.03;1
Tri_rep_8_1;Tri_rep;8;0;31.96;1
Tri_rep_9_1;Tri_rep;9;9.883;25.67;1
Tri_rep_10_1;Tri_rep;10;3.033;33.33;1
Tri_rep_11_1;Tri_rep;11;30.313;29.43;1
Tri_rep_12_1;Tri_rep;12;30.313;30.51;1
Ver_cha_1_2;Ver_cha;1;0.081;0.01;2
Ver_cha_2_1;Ver_cha;2;0.3;3.64;1
Ver_cha_8_1;Ver_cha;8;0;3.61;1
Vic_sep_1_1;Vic_sep;1;0.081;17.91;1
Vic_sep_2_1;Vic_sep;2;0.3;9.44;1
Vic_sep_3_1;Vic_sep;3;0.94;3.02;1
Vic_sep_4_1;Vic_sep;4;0.103;2.04;1
Vic_sep_6_1;Vic_sep;6;0.0087;3.49;1
Vic_sep_7_1;Vic_sep;7;0.028;2.92;1
Vic_sep_8_1;Vic_sep;8;0;1.47;1
Vic_sep_9_1;Vic_sep;9;9.883;2.33;1
Vic_sep_11_1;Vic_sep;11;30.313;3.08;1
Vic_sep_12_1;Vic_sep;12;30.313;0.74;1
